dataset,target,config,k,seed,f1
EAModelSet,Type,GNN(FTLM(NL+NT)),1,3,0.7232126168178398
EAModelSet,Type,GNN(FTLM(NL+NT)),1,4,0.736368407461302
EAModelSet,Type,GNN(FTLM(NL+NT)),1,5,0.7525773053242752
EAModelSet,Type,GNN(FTLM(NL+NT)),1,6,0.7321693048795466
EAModelSet,Type,GNN(FTLM(NL+NT)),1,7,0.7222068887196789
EAModelSet,Type,GNN(FTLM(NL+NT)),1,8,0.7182944846969678
EAModelSet,Type,GNN(FTLM(NL+NT)),1,9,0.7294390571923173
EAModelSet,Type,GNN(FTLM(NL+NT)),2,0,0.710232068064864
EAModelSet,Type,GNN(FTLM(NL+NT)),2,1,0.7004848084047253
EAModelSet,Type,GNN(FTLM(NL+NT)),2,2,0.7131635523569219
EAModelSet,Type,GNN(FTLM(NL+NT)),2,3,0.7004908647868914
EAModelSet,Type,GNN(FTLM(NL+NT)),2,4,0.723121072717293
EAModelSet,Type,GNN(FTLM(NL+NT)),2,5,0.7226265060578815
EAModelSet,Type,GNN(FTLM(NL+NT)),2,6,0.7228475126529642
EAModelSet,Type,GNN(FTLM(NL+NT)),2,7,0.7072594952939146
EAModelSet,Type,GNN(FTLM(NL+NT)),2,8,0.7171452056331808
EAModelSet,Type,GNN(FTLM(NL+NT)),2,9,0.7106793049478064
EAModelSet,Type,GNN(FTLM(NL+NT)),3,0,0.7161118793859752
EAModelSet,Type,GNN(FTLM(NL+NT)),3,1,0.7166085434285793
EAModelSet,Type,GNN(FTLM(NL+NT)),3,2,0.7070028472696585
