dataset,target,model,k,seed,f1
ModelSet,Abstract,GloVe+SVM,1,6,0.013526296637821211
ModelSet,Abstract,GloVe+SVM,1,7,0.0
ModelSet,Abstract,GloVe+SVM,1,8,0.0
ModelSet,Abstract,GloVe+SVM,1,9,0.012957090571081397
ModelSet,Abstract,GloVe+RF,1,0,0.6026675818304609
ModelSet,Abstract,GloVe+RF,1,1,0.6019049353848591
ModelSet,Abstract,GloVe+RF,1,2,0.6090053997476329
ModelSet,Abstract,GloVe+RF,1,3,0.5899378757846186
ModelSet,Abstract,GloVe+RF,1,4,0.6142744022753416
ModelSet,Abstract,GloVe+RF,1,5,0.6052198875521888
ModelSet,Abstract,GloVe+RF,1,6,0.6107508817466835
ModelSet,Abstract,GloVe+RF,1,7,0.5969526317854009
ModelSet,Abstract,GloVe+RF,1,8,0.6111587583425511
ModelSet,Abstract,GloVe+RF,1,9,0.5965414204466117
ModelSet,Abstract,Worde4MDE+SVM,1,0,0.011452567162855027
ModelSet,Abstract,Worde4MDE+SVM,1,1,0.013555754245252493
ModelSet,Abstract,Worde4MDE+SVM,1,2,0.010942627419177663
ModelSet,Abstract,Worde4MDE+SVM,1,3,0.006197563990558795
ModelSet,Abstract,Worde4MDE+SVM,1,4,0.007605795055217192
ModelSet,Abstract,Worde4MDE+SVM,1,5,0.0
ModelSet,Abstract,Worde4MDE+SVM,1,6,0.010018610469193273
ModelSet,Abstract,Worde4MDE+SVM,1,7,0.0
ModelSet,Abstract,Worde4MDE+SVM,1,8,0.001139339917389917
ModelSet,Abstract,Worde4MDE+SVM,1,9,0.0
ModelSet,Abstract,Worde4MDE+RF,1,0,0.5633063558367832
ModelSet,Abstract,Worde4MDE+RF,1,1,0.573536399596069
ModelSet,Abstract,Worde4MDE+RF,1,2,0.5879024178618664
ModelSet,Abstract,Worde4MDE+RF,1,3,0.5970084350997888
ModelSet,Abstract,Worde4MDE+RF,1,4,0.5725249328859389
ModelSet,Abstract,Worde4MDE+RF,1,5,0.5691523421835575
ModelSet,Abstract,Worde4MDE+RF,1,6,0.5974211474380972
ModelSet,Abstract,Worde4MDE+RF,1,7,0.56940916846714
ModelSet,Abstract,Worde4MDE+RF,1,8,0.6048836315327419
ModelSet,Abstract,Worde4MDE+RF,1,9,0.5806077837134602
ModelSet,Abstract,CMGPT,1,0,0.7803990915812393
ModelSet,Abstract,CMGPT,1,1,0.8028120512849791
ModelSet,Abstract,CMGPT,1,2,0.8113201863954159
ModelSet,Abstract,CMGPT,1,3,0.7737830288555139
ModelSet,Abstract,CMGPT,1,4,0.8097075450630221
ModelSet,Abstract,CMGPT,1,5,0.7876231377115586
ModelSet,Abstract,CMGPT,1,6,0.8088359547551706
ModelSet,Abstract,CMGPT,1,7,0.7864344268102583
ModelSet,Abstract,CMGPT,1,8,0.772073682098372
ModelSet,Abstract,CMGPT,1,9,0.7970236053404629
ModelSet,Abstract,FTLM,1,0,0.9092657809837812
ModelSet,Abstract,FTLM,1,1,0.9209596285844541
ModelSet,Abstract,FTLM,1,2,0.917235977300291
ModelSet,Abstract,FTLM,1,3,0.9069524205945859
ModelSet,Abstract,FTLM,1,4,0.8976229270137563
ModelSet,Abstract,FTLM,1,5,0.8947934836932279
ModelSet,Abstract,FTLM,1,6,0.8970512705445807
ModelSet,Abstract,FTLM,1,7,0.8916906777319737
ModelSet,Abstract,FTLM,1,8,0.8972544796939476
ModelSet,Abstract,FTLM,1,9,0.874554725761239
